Year,Name,Country,Teams,Maps,Ranking,CT Ranking,T Ranking,Rounds,CT Rounds,T Rounds,KD Diff,CT KD Diff,T KD Diff,KD,CT KD,T KD,Rating,CT Rating,T Rating
2015,GuardiaN,Slovakia,Natus Vincere,94,1,1,7,2487,1280,1207,+430,+394,+36,2487,1280,1207,1.18,1.33,1.05
2015,device,Denmark,"?, TSM",120,2,2,9,3150,1635,1515,+380,+368,+12,3150,1635,1515,1.14,1.24,1.04
2015,kennyS,France,Envy,95,3,5,2,2504,1215,1289,+336,+219,+117,2504,1215,1289,1.13,1.18,1.08
2015,olofmeister,Sweden,fnatic,115,4,3,10,2929,1473,1456,+306,+285,+21,2929,1473,1456,1.11,1.21,1.03
2015,aizy,Denmark,"G2, Dignitas",78,5,9,3,2016,1010,1006,+153,+124,+29,2016,1010,1006,1.10,1.14,1.08
2015,KRIMZ,Sweden,fnatic,112,6,8,6,2883,1453,1430,+334,+254,+80,2883,1453,1430,1.10,1.15,1.06
2015,Happy,France,Envy,98,7,6,8,2496,1193,1303,+259,+195,+64,2496,1193,1303,1.10,1.16,1.05
2015,flamie,Russia,Natus Vincere,94,8,20,1,2516,1286,1230,+221,+119,+102,2516,1286,1230,1.08,1.07,1.09
2015,nitr0,United States,Liquid,78,9,19,4,2100,1052,1048,+114,+87,+27,2100,1052,1048,1.08,1.08,1.08
2015,flusha,Sweden,fnatic,117,10,4,19,3009,1517,1492,+211,+274,-63,3009,1517,1492,1.07,1.19,0.96
2015,dupreeh,Denmark,"?, TSM",120,11,10,17,3150,1635,1515,+189,+242,-53,3150,1635,1515,1.05,1.14,0.97
2015,Snax,Poland,Virtus.pro,96,12,7,20,2560,1284,1276,+103,+174,-71,2560,1284,1276,1.05,1.15,0.96
2015,Xyp9x,Denmark,"?, TSM",120,13,12,16,3150,1635,1515,+203,+223,-20,3150,1635,1515,1.04,1.12,0.97
2015,NBK-,France,Envy,101,14,24,11,2658,1282,1376,+107,+80,+27,2658,1282,1376,1.04,1.06,1.03
2015,shox,France,Titan,89,15,13,18,2313,1114,1199,+58,+116,-58,2313,1114,1199,1.04,1.11,0.97
2015,dennis,Sweden,"fnatic, G2, Kinguin",111,16,14,22,2928,1429,1499,+131,+168,-37,2928,1429,1499,1.03,1.11,0.95
2015,ScreaM,Belgium,"Titan, Kinguin",84,17,11,25,2203,1083,1120,+80,+163,-83,2203,1083,1120,1.03,1.14,0.93
2015,Hiko,United States,Liquid,78,18,38,5,2100,1052,1048,+102,+17,+85,2100,1052,1048,1.03,0.99,1.07
2015,seized,Russia,Natus Vincere,94,19,18,21,2516,1286,1230,+75,+129,-54,2516,1286,1230,1.02,1.09,0.96
2015,apEX,France,Envy,101,20,22,12,2658,1282,1376,+33,+56,-23,2658,1282,1376,1.02,1.06,0.98
2016,coldzera,Brazil,"SK, Luminosity",186,1,2,1,4842,2440,2402,+894,+634,+260,4842,2440,2402,1.19,1.26,1.11
2016,device,Denmark,Astralis,225,2,1,4,5852,3016,2836,+914,+739,+175,5852,3016,2836,1.17,1.27,1.08
2016,NiKo,Bosnia and Herzegovina,MOUZ,188,3,4,2,5034,2574,2460,+558,+422,+136,5034,2574,2460,1.16,1.22,1.10
2016,shox,France,G2,205,4,6,7,5398,2744,2654,+565,+477,+88,5398,2744,2654,1.12,1.19,1.05
2016,ScreaM,Belgium,G2,205,5,11,3,5398,2744,2654,+513,+351,+162,5398,2744,2654,1.11,1.14,1.08
2016,FalleN,Brazil,"SK, Luminosity",186,6,3,18,4842,2440,2402,+591,+589,+2,4842,2440,2402,1.10,1.23,0.98
2016,Magisk,Denmark,"Dignitas, SK",208,7,8,12,5471,2798,2673,+536,+497,+39,5471,2798,2673,1.10,1.17,1.04
2016,kennyS,France,Envy,195,8,9,8,5168,2538,2630,+552,+381,+171,5168,2538,2630,1.10,1.15,1.05
2016,flusha,Sweden,"GODSENT, fnatic",191,9,5,15,4879,2435,2444,+433,+449,-16,4879,2435,2444,1.10,1.20,0.99
2016,f0rest,Sweden,Ninjas in Pyjamas,193,10,24,5,5049,2363,2686,+458,+223,+235,5049,2363,2686,1.09,1.10,1.06
2016,dennis,Sweden,fnatic,174,11,14,10,4511,2282,2229,+313,+274,+39,4511,2282,2229,1.08,1.13,1.04
2016,Kjaerbye,Denmark,"Astralis, Dignitas",226,12,16,9,5821,2966,2855,+423,+328,+95,5821,2966,2855,1.08,1.12,1.04
2016,GeT_RiGhT,Sweden,Ninjas in Pyjamas,193,13,27,6,5049,2363,2686,+337,+233,+104,5049,2363,2686,1.07,1.09,1.06
2016,dupreeh,Denmark,Astralis,220,14,15,13,5691,2939,2752,+406,+381,+25,5691,2939,2752,1.07,1.12,1.03
2016,k0nfig,Denmark,Dignitas,263,15,25,11,6781,3393,3388,+333,+271,+62,6781,3393,3388,1.07,1.10,1.04
2016,cajunb,Denmark,"Dignitas, Astralis",255,16,7,27,6601,3338,3263,+522,+649,-127,6601,3338,3263,1.07,1.19,0.95
2016,rain,Norway,FaZe,196,17,13,16,5165,2584,2581,+216,+266,-50,5165,2584,2581,1.06,1.14,0.99
2016,fer,Brazil,"SK, Luminosity",182,18,23,14,4743,2385,2358,+232,+243,-11,4743,2385,2358,1.06,1.10,1.02
2016,shroud,Canada,Cloud9,176,19,20,17,4640,2279,2361,+261,+274,-13,4640,2279,2361,1.04,1.11,0.98
2016,JW,Sweden,"GODSENT, fnatic",191,20,17,22,4879,2435,2444,+232,+296,-64,4879,2435,2444,1.04,1.12,0.97
2017,NiKo,Bosnia and Herzegovina,"FaZe, MOUZ",229,1,1,2,5985,3008,2977,+955,+638,+317,5985,3008,2977,1.23,1.22,1.23
2017,coldzera,Brazil,SK,199,2,7,1,5232,2595,2637,+1029,+581,+448,5232,2595,2637,1.21,1.16,1.26
